年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,1,26,火,輸入キウイ,50800,,,15567,373,97.2,92.1
2021,1,26,火,輸入メロン,50850,,,4862,263,91.0,106.0
2021,1,28,木,みかん,40100,,,1515033,263,126.4,107.3
2021,1,28,木,はっさく,41321,,,104356,188,109.6,92.2
2021,1,28,木,りんご計,42000,,,1084859,294,143.0,98.0
2021,1,28,木,日本なし計,43000,,,280,266,54.6,96.7
2021,1,28,木,かき計,43500,,,51555,462,166.4,100.4
2021,1,28,木,びわ,43900,,,10,7992,−,−
2021,1,28,木,おうとう,44800,,,6,17928,42.9,88.9
2021,1,28,木,ぶどう計,45000,,,9275,1417,78.2,129.9
2021,1,28,木,いちご,46100,,,485928,1459,154.6,99.5
2021,1,28,木,メロン計,47000,,,42621,648,211.7,86.9
2021,1,28,木,すいか,48100,,,4266,348,30.6,123.4
2021,1,28,木,キウイフルツ,49300,,,131284,534,127.4,99.3
2021,1,28,木,バナナ,50100,,,529298,161,158.3,104.5
2021,1,28,木,パイナップル,50300,,,65175,154,126.8,102.0
2021,1,28,木,レモン,50400,,,28293,310,121.7,108.4
2021,1,28,木,オレンジ,50600,,,30592,266,50.2,129.8
2021,1,28,木,輸入おうとう,50700,,,35,2469,388.9,114.3
2021,1,28,木,輸入キウイ,50800,,,25781,442,165.6,118.5
2021,1,28,木,輸入メロン,50850,,,9638,199,198.2,75.7
2021,1,29,金,みかん,40100,,,1117282,253,73.7,96.2
2021,1,29,金,はっさく,41321,,,86863,195,83.2,103.7
2021,1,29,金,りんご計,42000,,,924650,307,85.2,104.4
2021,1,29,金,日本なし計,43000,,,40,594,14.3,223.3
2021,1,29,金,かき計,43500,,,13660,417,26.5,90.3
2021,1,29,金,びわ,43900,,,5,9504,50.0,118.9
2021,1,29,金,ぶどう計,45000,,,6375,1260,68.7,88.9
2021,1,29,金,いちご,46100,,,344448,1463,70.9,100.3
2021,1,29,金,メロン計,47000,,,26488,711,62.1,109.7
2021,1,29,金,すいか,48100,,,13963,328,327.3,94.3
2021,1,29,金,キウイフルツ,49300,,,112868,516,86.0,96.6
2021,1,29,金,バナナ,50100,,,618892,141,116.9,87.6
2021,1,29,金,パイナップル,50300,,,87479,128,134.2,83.1
2021,1,29,金,レモン,50400,,,24000,339,84.8,109.4
2021,1,29,金,オレンジ,50600,,,65201,230,213.1,86.5
2021,1,29,金,輸入キウイ,50800,,,25265,346,98.0,78.3
2021,1,29,金,輸入メロン,50850,,,6408,186,66.5,93.5
2021,1,30,土,みかん,40100,,,1152326,256,103.1,101.2
2021,1,30,土,はっさく,41321,,,70798,176,81.5,90.3
2021,1,30,土,りんご計,42000,,,786172,285,85.0,92.8
2021,1,30,土,かき計,43500,,,50610,447,370.5,107.2
2021,1,30,土,おうとう,44800,,,11,18851,−,−
2021,1,30,土,ぶどう計,45000,,,4810,1738,75.5,137.9
