年,月,日,曜日,品目名,品目コード,数量,価格
2021,1,15,金,かぶ,30200,112056,124
2021,1,15,金,にんじん,30300,709857,140
2021,1,15,金,ごぼう,30400,61584,411
2021,1,15,金,たけのこ,30500,1578,1721
2021,1,15,金,れんこん,30600,79137,409
2021,1,15,金,はくさい,31100,1623270,46
2021,1,15,金,みずな,31300,41835,373
2021,1,15,金,こまつな,31500,90572,449
2021,1,15,金,ちんげんさい,31560,31406,347
2021,1,15,金,キャベツ,31700,1403681,94
2021,1,15,金,ほうれんそう,31800,105053,641
2021,1,15,金,ねぎ,31900,371003,501
2021,1,15,金,みつば,32500,11725,534
2021,1,15,金,しゅんぎく,32600,22338,705
2021,1,15,金,にら,32800,56435,1112
2021,1,15,金,アスパラガス,33100,5737,1699
2021,1,15,金,カリフラワー,33200,16437,293
2021,1,15,金,ブロッコリー,33300,160471,505
2021,1,15,金,レタス,33400,485110,200
2021,1,15,金,きゅうり,34100,330071,390
2021,1,15,金,かぼちゃ,34200,250672,207
2021,1,15,金,なす,34300,124244,454
2021,1,15,金,トマト,34400,423623,302
2021,1,15,金,ミニトマト,34450,176603,546
2021,1,15,金,ピーマン,34500,137288,619
2021,1,15,金,ししとう,34600,4983,1195
2021,1,15,金,そらまめ,35400,15091,503
2021,1,15,金,えだまめ,35500,378,2378
2021,1,15,金,さといも,36300,65205,349
2021,1,15,金,たまねぎ,36610,1872586,83
2021,1,15,金,にんにく,36700,22298,1425
2021,1,15,金,しょうが,37200,17283,682
2021,1,15,金,生しいたけ,38100,73038,1083
2021,1,15,金,なめこ,38300,24885,441
2021,1,15,金,えのきだけ,38400,153425,335
2021,1,15,金,しめじ,38500,89775,512
2021,1,16,土,だいこん,30100,1301598,77
2021,1,16,土,かぶ,30200,116672,126
2021,1,16,土,にんじん,30300,912618,137
2021,1,16,土,ごぼう,30400,84319,383
2021,1,16,土,たけのこ,30500,733,1504
2021,1,16,土,れんこん,30600,101259,400
2021,1,16,土,はくさい,31100,1840963,45
2021,1,16,土,みずな,31300,47437,373
2021,1,16,土,こまつな,31500,103606,450
2021,1,16,土,ちんげんさい,31560,34010,339
2021,1,16,土,キャベツ,31700,1828894,89
2021,1,16,土,ほうれんそう,31800,133502,642
2021,1,16,土,ねぎ,31900,461365,472
2021,1,16,土,みつば,32500,12647,541
2021,1,16,土,しゅんぎく,32600,23989,704
2021,1,16,土,にら,32800,62392,1091
2021,1,16,土,アスパラガス,33100,7150,1695
2021,1,16,土,カリフラワー,33200,28214,291
2021,1,16,土,ブロッコリー,33300,214943,514
2021,1,16,土,レタス,33400,626157,199
2021,1,16,土,きゅうり,34100,350063,380
2021,1,16,土,かぼちゃ,34200,276212,202
2021,1,16,土,なす,34300,137096,458
2021,1,16,土,トマト,34400,479994,301
2021,1,16,土,ミニトマト,34450,187451,554
2021,1,16,土,ピーマン,34500,165471,625
2021,1,16,土,ししとう,34600,6438,1113
2021,1,16,土,そらまめ,35400,14288,508
2021,1,16,土,えだまめ,35500,253,2214
2021,1,16,土,さといも,36300,66339,333
2021,1,16,土,たまねぎ,36610,1461649,97
2021,1,16,土,にんにく,36700,26549,1596
2021,1,16,土,しょうが,37200,30817,661
2021,1,16,土,生しいたけ,38100,86705,1075
2021,1,16,土,なめこ,38300,28308,467
2021,1,16,土,えのきだけ,38400,193519,335
2021,1,16,土,しめじ,38500,117749,507
2021,1,18,月,だいこん,30100,1354676,72
2021,1,18,月,かぶ,30200,98921,128
2021,1,18,月,にんじん,30300,838495,135
2021,1,18,月,ごぼう,30400,108830,405
2021,1,18,月,たけのこ,30500,1218,1456
2021,1,18,月,れんこん,30600,85986,388
2021,1,18,月,はくさい,31100,1790869,43
2021,1,18,月,みずな,31300,50411,376
2021,1,18,月,こまつな,31500,110066,468
2021,1,18,月,ちんげんさい,31560,32320,361
2021,1,18,月,キャベツ,31700,1589652,86
2021,1,18,月,ほうれんそう,31800,152674,639
2021,1,18,月,ねぎ,31900,427078,436
2021,1,18,月,みつば,32500,11910,556
2021,1,18,月,しゅんぎく,32600,25670,718
2021,1,18,月,にら,32800,64723,1076
2021,1,18,月,アスパラガス,33100,8428,1517
2021,1,18,月,カリフラワー,33200,26344,276
2021,1,18,月,ブロッコリー,33300,221509,489
2021,1,18,月,レタス,33400,575843,200
2021,1,18,月,きゅうり,34100,537528,381
2021,1,18,月,かぼちゃ,34200,290177,210
2021,1,18,月,なす,34300,218028,460
2021,1,18,月,トマト,34400,688446,289
2021,1,18,月,ミニトマト,34450,286718,511
2021,1,18,月,ピーマン,34500,226333,656
2021,1,18,月,ししとう,34600,7097,1119
2021,1,18,月,そらまめ,35400,13679,514
2021,1,18,月,えだまめ,35500,126,2486
