年,月,日,曜日,品目名,品目コード,数量,価格
2021,2,13,土,バナナ,50100,548200,158
2021,2,13,土,パイナップル,50300,82755,154
2021,2,13,土,レモン,50400,33286,303
2021,2,13,土,オレンジ,50600,87365,257
2021,2,13,土,輸入おうとう,50700,5,2549
2021,2,13,土,輸入キウイ,50800,3163,509
2021,2,13,土,輸入メロン,50850,9046,152
2021,2,15,月,みかん,40100,886088,310
2021,2,15,月,はっさく,41321,120947,180
2021,2,15,月,りんご計,42000,867288,273
2021,2,15,月,かき計,43500,3566,655
2021,2,15,月,びわ,43900,81,4651
2021,2,15,月,おうとう,44800,11,13593
2021,2,15,月,ぶどう計,45000,4789,482
2021,2,15,月,いちご,46100,589859,1432
2021,2,15,月,メロン計,47000,38287,940
2021,2,15,月,すいか,48100,9364,300
2021,2,15,月,キウイフルツ,49300,100764,516
2021,2,15,月,バナナ,50100,479099,159
2021,2,15,月,パイナップル,50300,60743,157
2021,2,15,月,レモン,50400,29389,308
2021,2,15,月,オレンジ,50600,28534,244
2021,2,15,月,輸入キウイ,50800,1557,494
2021,2,15,月,輸入メロン,50850,4616,213
2021,2,16,火,みかん,40100,816350,302
2021,2,16,火,はっさく,41321,147771,188
2021,2,16,火,りんご計,42000,743441,275
2021,2,16,火,かき計,43500,1422,528
2021,2,16,火,びわ,43900,59,4909
2021,2,16,火,おうとう,44800,11,15729
2021,2,16,火,ぶどう計,45000,4733,520
2021,2,16,火,いちご,46100,402612,1450
2021,2,16,火,メロン計,47000,21220,1047
2021,2,16,火,すいか,48100,5996,301
2021,2,16,火,キウイフルツ,49300,77680,546
2021,2,16,火,バナナ,50100,367157,155
2021,2,16,火,パイナップル,50300,64567,146
2021,2,16,火,レモン,50400,28556,307
2021,2,16,火,オレンジ,50600,27054,256
2021,2,16,火,輸入キウイ,50800,4879,396
2021,2,16,火,輸入メロン,50850,3313,277
2021,2,18,木,みかん,40100,929690,314
2021,2,18,木,はっさく,41321,111947,176
2021,2,18,木,りんご計,42000,1059078,272
2021,2,18,木,日本なし計,43000,450,324
2021,2,18,木,かき計,43500,2962,693
2021,2,18,木,びわ,43900,250,5003
2021,2,18,木,おうとう,44800,19,13213
2021,2,18,木,ぶどう計,45000,5510,497
2021,2,18,木,いちご,46100,634641,1447
2021,2,18,木,メロン計,47000,32781,924
2021,2,18,木,すいか,48100,7784,352
2021,2,18,木,キウイフルツ,49300,111001,523
2021,2,18,木,バナナ,50100,478506,168
2021,2,18,木,パイナップル,50300,70927,179
2021,2,18,木,レモン,50400,28019,313
2021,2,18,木,オレンジ,50600,39055,235
2021,2,18,木,輸入キウイ,50800,1316,502
2021,2,18,木,輸入メロン,50850,9481,248
2021,2,19,金,みかん,40100,637277,309
2021,2,19,金,はっさく,41321,102200,192
2021,2,19,金,りんご計,42000,838398,264
2021,2,19,金,かき計,43500,387,444
2021,2,19,金,びわ,43900,48,2833
2021,2,19,金,おうとう,44800,3,21852
2021,2,19,金,ぶどう計,45000,5754,442
2021,2,19,金,いちご,46100,362519,1443
2021,2,19,金,メロン計,47000,26276,972
2021,2,19,金,すいか,48100,13464,313
2021,2,19,金,キウイフルツ,49300,110496,524
2021,2,19,金,バナナ,50100,468341,157
2021,2,19,金,パイナップル,50300,67135,158
2021,2,19,金,レモン,50400,17911,328
2021,2,19,金,オレンジ,50600,54834,237
2021,2,19,金,輸入おうとう,50700,25,259
2021,2,19,金,輸入キウイ,50800,2880,448
2021,2,19,金,輸入メロン,50850,6313,255
2021,2,20,土,みかん,40100,773575,315
2021,2,20,土,はっさく,41321,98864,180
2021,2,20,土,りんご計,42000,850703,268
2021,2,20,土,かき計,43500,400,404
2021,2,20,土,びわ,43900,142,5430
2021,2,20,土,おうとう,44800,6,15507
2021,2,20,土,ぶどう計,45000,1827,423
2021,2,20,土,いちご,46100,406101,1444
